IDX,Voltage,Target Wl
208,1.86632536,1627.734
209,1.7291903,1627.7351248875
210,1.65601303,1627.736249775
211,1.67928683,1627.7373746624999
212,1.78255759,1627.7385
213,1.98977449,1627.7396248875
214,2.32783242,1627.740749775
215,2.77743055,1627.7418746624999
216,3.39826939,1627.743
217,4.06983131,1627.7441248875
218,4.78908827,1627.745249775
219,5.25501833,1627.7463746624999
220,5.36493153,1627.7475
221,5.00118915,1627.7486248875
222,4.30189812,1627.749749775
223,3.45062576,1627.7508746624999
224,2.75606552,1627.752
225,2.85034819,1627.7531248875
226,2.87598234,1627.754249775
227,2.94040041,1627.7553746625
228,3.11822029,1627.7565
229,2.55793049,1627.7576248875
230,2.17682735,1627.758749775
231,1.93550234,1627.7598746625
232,1.75920963,1627.761
233,1.6697224,1627.7621248875
234,1.64428235,1627.763249775
235,1.66342279,1627.7643746625
236,1.73349196,1627.7655
237,1.89680925,1627.7666248875
238,2.10928434,1627.767749775
239,2.48080032,1627.7688746625
240,2.97898811,1627.77
241,3.62528337,1627.7711248875
242,4.4577488,1627.772249775
243,5.10421834,1627.7733746625
244,5.36264135,1627.7745
245,5.18755662,1627.7756248875
246,4.32730015,1627.776749775
247,3.4858095,1627.7778746625
248,2.80688451,1627.779
249,2.37019635,1627.7801248875
250,2.0125314,1627.781249775
251,1.80474815,1627.7823746625
252,1.68702799,1627.7835
253,1.64676098,1627.7846248875
254,1.6862706,1627.785749775
255,1.80561002,1627.7868746625
256,2.01506193,1627.788
257,2.33434159,1627.7891248875
258,2.89648752,1627.7902497750001
259,3.48799015,1627.7913746625
260,4.21030683,1627.7925
261,5.01496485,1627.7936248875
262,5.36488116,1627.7947497750001
263,5.10169494,1627.7958746625
264,4.47647381,1627.797
265,3.5130691,1627.7981248875
266,2.88607762,1627.7992497750001
267,2.4094402,1627.8003746625
268,2.04983004,1627.8015
269,1.84174822,1627.8026248875
270,1.6960926,1627.8037497750001
271,1.65527205,1627.8048746625
272,1.67732802,1627.806
273,1.75853284,1627.8071248875
274,1.96715662,1627.8082497750001
275,2.22051051,1627.8093746625
276,2.5705653,1627.8105
277,2.45433851,1627.8116248875
278,2.26683641,1627.8127497750002
279,2.21414671,1627.8138746625
280,2.11644675,1627.815
281,2.44506655,1627.8161248875
282,3.1958012,1627.8172497750002
283,3.90092616,1627.8183746625
284,4.73294379,1627.8195
285,5.16767164,1627.8206248875001
286,5.35923104,1627.8217497750002
287,5.36609523,1627.8228746625
288,5.07534063,1627.824
289,4.42198818,1627.8251248875001
290,3.67028525,1627.8262497750002
291,3.02316571,1627.8273746625
292,2.51936025,1627.8285
293,2.14509307,1627.8296248875001
294,1.90173688,1627.8307497750002
295,1.740641,1627.8318746625
296,1.66270723,1627.833
297,1.66994132,1627.8341248875001
298,1.77058832,1627.8352497750002
